,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,Mastering Adobe XD,4,https://www.youtube.com/playlist?list=PLuQZzG-z6zBJvcSTgDleHPDyqRUXYkA6c,David,https://hackr.io/davidfco1702,https://hackr.io/tutorial/mastering-adobe-xd,Free,Video,Advanced
1,Designing & Prototyping an App in Adobe XD,6,https://www.youtube.com/watch?v=mtZJUvzQrA4,,,,Free,Video,Beginner
2,How to Use Responsive Resize and Constraints in Adobe XD,4,https://webdesign.tutsplus.com/tutorials/how-to-use-responsive-resize-and-constraints-in-adobe-xd--cms-32019,Ian,https://hackr.io/ian-yates,https://hackr.io/tutorial/how-to-use-responsive-resize-and-constraints-in-adobe-xd,Free,Video,Beginner
3,Adobe Experience Design tutorials | Adobe,3,https://helpx.adobe.com/experience-design/tutorials.html,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/adobe-experience-design-tutorials-adobe,Free,Video,Beginner
4,Adobe XD Course,2,https://learnux.io/course/adobe-xd,Learn,https://hackr.io/learn-ux,https://hackr.io/tutorial/adobe-xd-course,Paid,Video,Beginner
5,UI/UX design with Adobe XD: Design & Prototype a Mobile App,2,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/adobe-xd-course/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/uiux-design-with-adobe-xd-design-prototype-a-mobile-app,Paid,Video,Beginner
6,Adobe Experience Design Tutorials,1,https://www.youtube.com/playlist?list=PLkiM1tZke4mivrZRPcqp_8oHFxlD8-IP5,Pawan,https://hackr.io/pawan-kumar-2,https://hackr.io/tutorial/adobe-experience-design-tutorials,Free,Video,Beginner
7,Adobe XD Prototyping,+1,https://www.youtube.com/playlist?list=PLuQZzG-z6zBIQNWikhYXU8rqhI6E7gGRv,David,https://hackr.io/davidfco1702,https://hackr.io/tutorial/adobe-xd-prototyping,Free,Video,Beginner
8,Adobe Experience Design CC,+1,https://www.youtube.com/playlist?list=PLJ4RelYJHoScuihpL_8-Om6UZIkhuW_zm,Tom,https://hackr.io/tom-green,https://hackr.io/tutorial/adobe-experience-design-cc,Free,,Beginner
9,A Quick Start Guide to Adobe XD,1,http://blog.graphicstock.com/graphic-design-tutorials/a-quick-start-guide-to-adobe-xd-8-essential-tutorials-for-experience-design-cc/,,,,Free,Video,Beginner
