,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,Create Pixel Perfect Work with UI Design,3,http://share.trydesignlab.com/hackrioui,Manuela,https://hackr.io/manuela-odell,https://hackr.io/tutorial/create-pixel-perfect-work-with-ui-design,Paid,Advanced,Certification
1,UI & Web-design for Beginners,19,https://www.youtube.com/watch?v=QJ9ygdD2sIY,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/ui-web-design-for-beginners,Free,Video,Beginner
2,Learn UI Design,3,http://learnui.design/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/learn-ui-design,Paid,Video,Beginner
3,Material Design,3,https://material.io/design/,Himanshu,https://hackr.io/himanshu-vaishnav,https://hackr.io/tutorial/material-design,Free,,Beginner
4,Design 101 Course by Design Lab,2,http://share.trydesignlab.com/hackriodesign101,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/design-101-course-by-design-lab,Paid,Video,Beginner
5,Introduction to Web Design and Development,1,https://linkedin-learning.pxf.io/dAnkk,Swapnil,https://hackr.io/swapnil-banga,https://hackr.io/tutorial/introduction-to-web-design-and-development,Paid,Video,
6,Learn UI/UX Design with Abhinav,1,https://www.youtube.com/playlist?list=PLDtHAiqIa4wa5MBbE_XDoqY51sAkQnkjt,Biradar,https://hackr.io/-1092,https://hackr.io/tutorial/learn-ui-ux-design-with-abhinav,Free,Video,Beginner
7,User Interface Design,1,https://www.javatpoint.com/software-engineering-user-interface-design,Neha,https://hackr.io/nehapandey,https://hackr.io/tutorial/user-interface-design,Free,Book,Beginner
8,The iOS Design Guidelines,1,https://ivomynttinen.com/blog/ios-design-guidelines,Himanshu,https://hackr.io/himanshu-vaishnav,https://hackr.io/tutorial/the-ios-design-guidelines,Free,Beginner,iOS
9,Complete Web and Mobile Designer,+1,https://academy.zerotomastery.io/p/complete-web-and-mobile-designer,Andrei,https://hackr.io/andreineagoie,https://hackr.io/tutorial/complete-web-and-mobile-designer,Paid,Video,Beginner
10,Micro Frontends in Action,+1,https://www.manning.com/books/micro-frontends-in-action?a_aid=hackrio,von,https://hackr.io/von-latinski,https://hackr.io/tutorial/micro-frontends-in-action,Paid,Book,Advanced
