,Course,Votes,Course Link,Author ,Author Link,Hackr Link,Course Cost,Course Type,Student Type
0,UX Foundations: Multidevice Design,1,https://linkedin-learning.pxf.io/7vGm5,Nick,https://hackr.io/nick-feng,https://hackr.io/tutorial/ux-foundations-multidevice-design,Paid,Video,Beginner
1,"UX & Web Design Master Course: Strategy, Design, Development",3,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/course/ux-web-design-master-course-strategy-design-development,Kevin,https://hackr.io/kevin-yamato,https://hackr.io/tutorial/ux-web-design-master-course-strategy-design-development,Paid,Video,Beginner
2,UX Academy by Designlab,3,http://share.trydesignlab.com/hackriouxa,Manuela,https://hackr.io/manuela-odell,https://hackr.io/tutorial/ux-academy-by-designlab,Paid,Beginner,Certification
3,UI / UX Design Specialization,2,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/specializations/ui-ux-design,Saurabh,https://hackr.io/saurabh-hooda,https://hackr.io/tutorial/ui-ux-design-specialization,Paid,Video,Beginner
4,Learn How to Become a UX Designer,2,https://www.uxbeginner.com,Himanshu,https://hackr.io/himanshu-vaishnav,https://hackr.io/tutorial/learn-how-to-become-a-ux-designer,Free,,Beginner
5,Fundamentals of UX Design,2,https://webdesign.tutsplus.com/courses/fundamentals-of-ux-design,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/fundamentals-of-ux-design,Paid,Video,Beginner
6,UX Design Course,2,http://trydesignlab.com/ux-design-course/,Jack,https://hackr.io/jack-avery-1,https://hackr.io/tutorial/ux-design-course,Paid,Video,Advanced
7,Usability Matters,1,https://www.manning.com/books/usability-matters?a_aid=hackrio,von,https://hackr.io/von-latinski,https://hackr.io/tutorial/usability-matters,Paid,Book,Beginner
8,UX Design Bootcamp (Job Guaranteed),1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=43438&murl=https://www.springboard.com/workshops/ux-career-track-course/,Rodrigo,https://hackr.io/rodrigo-aronas,https://hackr.io/tutorial/ux-design-bootcamp-job-guaranteed,Beginner,Paid,User
9,Effective UX Design,1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/business/effective-ux-design-video,Packt,https://hackr.io/Packt,https://hackr.io/tutorial/effective-ux-design,Paid,Video,Advanced
10,Hands-On UX Design for Developers,1,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=45060&murl=https://www.packtpub.com/web-development/hands-uxui-design-developers,besart,https://hackr.io/besartm,https://hackr.io/tutorial/hands-on-ux-design-for-developers,Paid,Book,Advanced
