CourseTitles,Votes,CourseLinks,CourseFeatures
Create Pixel Perfect Work with UI Design,3 Upvotes,https://hackr.io/tutorial/create-pixel-perfect-work-with-ui-design,Certification
UI & Web-design for Beginners,19 Upvotes,https://hackr.io/tutorial/ui-web-design-for-beginners,Beginner
Learn UI Design,3 Upvotes,https://hackr.io/tutorial/learn-ui-design,Beginner
Material Design,3 Upvotes,https://hackr.io/tutorial/material-design,Beginner
Design 101 Course by Design Lab,2 Upvotes,https://hackr.io/tutorial/design-101-course-by-design-lab,Beginner
Introduction to Web Design and Development,1 Upvote,https://hackr.io/tutorial/introduction-to-web-design-and-development,Video
Learn UI/UX Design with Abhinav,1 Upvote,https://hackr.io/tutorial/learn-ui-ux-design-with-abhinav,Beginner
User Interface Design,1 Upvote,https://hackr.io/tutorial/user-interface-design,Beginner
The iOS Design Guidelines,1 Upvote,https://hackr.io/tutorial/the-ios-design-guidelines,iOS Swift
Complete Web and Mobile Designer,+1 Upvotes,https://hackr.io/tutorial/complete-web-and-mobile-designer,Beginner
Micro Frontends in Action,+1 Upvotes,https://hackr.io/tutorial/micro-frontends-in-action,Advanced
